userName,score,at,content
ario miguel,5,11/22/2022 7:34,ok
Giyant Aja,1,11/22/2022 7:16,Jelek sekali apk ini
Baek Hyun,1,11/22/2022 7:04,"Traveloka kalo cari cs dilayani sma both, gk menjawab cost ribet dah pokoknya. Dari pada trus meningkatkan pelayanan traveloka lebih suka ambil rejeki ojek online. Travel itu untuk perjalanan ini untuk pesan makanan, pke apk lain aja sih"
Meli Saja,5,11/22/2022 6:48,mantap
Lambe Somad,5,11/22/2022 6:33,Berguna bangett ga ribet
wahid jhiewa,5,11/22/2022 5:01,alhamdulillah... selalu nyaman dengan fasilitas dan layanan traveloka
Bounce Gaming ID,1,11/22/2022 4:44,Cemen nama doang gede bersaing sama aplikator sebelah aja gak sanggup makanya jangan cuma numpang nama doang dibrand lain bangkrutkan Traveloka Eats nya malu banget sama aplikator sebelah senjata makan tuan kalo mau sukses ya mandiri jangan ngandelin aplikator lain!!! Kasian noh mitra lo udah nyender beli atribut sekarang lo bebenah maluu booskuuh!! Bakal Nyesel lo hapus apk food! Ngandelin Travel lo gada guna nya!
kang ijotz,1,11/22/2022 4:36,"kecewa sama traveloka saya sudah pesan 2 hari nginap d hotel ,pas sampe pihak hotel tidak bisa memproses krn hotel penuh ,dan tidak ada dana dan data yg masuk .saya mnt tanggung jwb nya tapi tidak bisa pengajual pembatalan .itu saya sudah bayar lunas !kenapa tidak ada tindakan .sya bayar itu pke uang bukan daun .sya mnt uang sya di kembalikan !krn saya tidak menginap dsana dan pihak hotel tidak menerima data !dan uangnya d pke oleh APK"
Haris Gendut,5,11/22/2022 4:33,ok
ecky laksa nova,5,11/22/2022 4:30,GOOD
Kapri Yani,5,11/22/2022 4:24,yop
fitadami86@gmail.com Fitadami86@gmail.com,5,11/22/2022 4:17,traveloka terbaik
masfar ariga,5,11/22/2022 4:04,"mudah, murah"
Denny Chandra,5,11/22/2022 3:45,aplikasi yg sangat berguna
Herdian Tobo,5,11/22/2022 3:30,tmantap
Hari Supriyanto,5,11/22/2022 3:18,good👍👍👍
Separate,5,11/22/2022 3:17,Luar biasa
muhidin ya habiebie,5,11/22/2022 3:13,"mantap surantap. mudah beli tiket. tolong tambah opsi pembayaran dengan DANA, GOPAY dan BSI"
Amry DM,5,11/22/2022 2:58,sangat puas
DJ BAby,5,11/22/2022 1:58,sangat mempermudah
Edi Baramuli,5,11/22/2022 1:39,good
SRI GAGAH,5,11/22/2022 0:59,solusi peetiketan
Santi Pasiang,4,11/22/2022 0:32,sangat membantu
Anwar Musaddad,5,11/21/2022 23:54,Siiip lahh
